app,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
dailymail,-583,2549,2155,2856,3259,68686,130892,152658,214864,287854,433636,506626,603880,691698,778168,949562,1083212,1130590,1230540,1230981
dailymail,-583,2527.4210526315787,2426.4736842105267,3318.7368421052633,3757.8421052631584,68047.00000000001,96283.10526,131826.7894736842,205256.3684210527,252790.15789473685,402204.3684210527,453640.2631578948,533171.3157894737,686771.4210526316,777086.4736842107,830012.2631578948,988294.8947368423,1104505.7368421054,1227101.8421052631,1231156
dailymail,-583,2473.7368421052633,3011.684210526316,3394.894736842105,26149.26315789474,45987.368421052626,77504.42105263165,101075.36842105266,118411.94736842105,213568.7894736842,279708.15789473685,421193.63157894736,542175.3158,653933.8421052634,775908.7894736843,825943.1053,963810.2631578947,1121117,1228051.105263158,1232420
dailymail,-583,2490.0526315789475,2803.315789473684,3336.157894736842,22367.263157894726,63536.631578947374,131311.26315789475,167514.31578947362,277857.3684210526,397849.2631578947,456400.7368421053,543118.3157894737,653603.2631578946,746493.2631578945,812068.5263157894,881049.2631578947,967057.3684210526,1088893.894736842,1229744.3157894737,1232352
google,-583,3288.1578947368425,4096.684210526317,7776.526315789473,9870.052631578948,15494.105263157895,16264.736842105263,17279.631578947367,23886.368421052648,59218.73684210527,130412.94736842107,303152.0000000003,482205.3684,661329.6842105269,899269.3684210526,1149908.6315789474,1381108.315789474,1591307.5789473688,1781925.368421053,1785380
google,-583,3367.3684210526317,4844.473684210527,8307.947368421053,8557.210526,12414.210526315788,15848.947368421052,17670.157894736843,18183.105263157893,59058.31578947369,125203.36842105261,303145.8947,509680.2105,695001.2631578947,834419.3684210527,1043507.7894736844,1288282.7368421054,1493752.8421052631,1721855.1578947369,1786450
google,-583,3317.578947368421,4520.631578947368,7910.7368421052615,10157.105263157895,16334.578947368422,16397.368421052633,17175.105263157897,21289.68421,47150.47368421052,150130.57894736843,269154.05263157893,410171.21052631555,631855.5263157893,879080.8947368421,1098423.9473684207,1326848.2631578946,1483331.947368421,1750848.2631578946,1786375
google,-583,3313.9473684210525,4792.8421052631575,8347.210526,8868.263157894738,14862.684210526324,15764.684210526317,17200.736842105263,17800.578947368424,59990.52631578949,115002.10526315795,354193.0526315793,548261.4736842106,675994.1052631581,885741.8947368421,1119824.6315789477,1291615.5789473685,1498383.5789473683,1770706.9473684211,1786004
google,-583,3349.8947368421054,4664.578947368421,8358.894736842105,8578.631578947368,9682.368421052633,16028.78947368421,17421.526315789473,17974.684210526317,42606.73684210524,104760.84210526306,250287.36842105258,434905.8947368421,638538.3157894737,823156.8421052631,1044242.3157894731,1262702.736842105,1500886.5263157892,1757516.6315789472,1786056
google,-583,3215.9473684210525,4559.105263157895,8140.526315789473,8435.789474,9854.210526,15748.736842105263,17223.842105263157,17567.42105263158,58636.31578947369,90584.73684210525,187576.31578947365,442212.94736842124,611641.7894736845,904590,1074728.3157894737,1317942.4210526317,1525399.0526315789,1758325.7894736843,1785874
google,-583,3409.2631578947367,4671.0526315789475,8237.263157894737,9785.578947,15766.421052631576,16306.842105263158,17138.57894736842,24452.57895,74967.15789473684,154388.94736842104,353916.84210526315,509031.68421052606,710049.4736842104,862681.1578947367,1151460.8421052631,1330484.947368421,1501846.7368421045,1754656.105263158,1786137
google,-583,3422.3684210526317,4347.684210526316,8252.157894736842,8467.052631578947,9711.263157894738,15828.315789473683,17879.21052631579,18350.894736842107,61651.21053,98764.36842105266,239328.05263157893,509086.8947368422,737483.4210526317,915862.0526315789,1135744.894736842,1347894.4736842106,1533935.4210526317,1705851.7894736847,1786959
msn,-571,-434.1052632,-873.5263158,1833.5263157894733,3255.3684210526317,3279.3684210526317,3157.1052631578946,3023.7894736842104,2995.0000000000005,3433.1052631578946,3536.8947368421054,3471.4210526315787,3520.6315789473683,4347,4765.473684210527,16195.368421052619,37144.73684210527,48638.94736842105,49721.78947368421,49652
msn,-571,-426.0526316,-934.2631579,195.73684210526312,2608.999999999998,3341.1052631578946,3306.421052631579,3171.8947368421054,3030.7368421052633,3237.9999999999995,3535.9473684210525,3632.7894736842104,3650.684210526316,4000.263157894737,4848.736842105263,11947.263157894698,40343.68421052629,48543.789473684206,49710.89473684211,49637
msn,-571,-418,-995,3139,3340,3212,3063,2974,2860,3435,3350,3435,4710,4614,6028,31922,32365,48739,49510,49432
msn,-571,-448.3684211,-846.1578947,857.0000000000001,3235.315789473684,3360.315789473684,3218.9473684210525,3084.2105263157896,2980,3156.9999999999995,3488.052631578947,3493.789473684211,3511.684210526316,4414.684210526316,4746.263157894737,5837.315789473686,37102.57894736838,47824.68421052632,49581.52631578947,49569
msn,-571,-434.1052632,-873.5263158,1833.5263157894733,3255.3684210526317,3279.3684210526317,3157.1052631578946,3039.578947368421,2956,2887,3346,3470.684210526316,3551.6315789473683,3520.315789473684,4161.631578947369,4726.578947368421,18431.210526315794,48529,49585.78947368421,49516
google,-583,3376.8947368421054,4516.315789473684,8047.526315789473,9487.894736842105,15424.684210526313,16275.21052631579,17060.36842105263,21579.89474,70426.78947368421,139172.47368421033,298044.05263157893,523322.36842105276,673822.1578947367,887323.2105263158,1143534.5789473683,1301483.8421052631,1488166.7894736843,1725860.894736842,1785710
