num_packets_down,num_bytes_down,min_packet_size_down,max_packet_size_down,mean_packet_size_down,std_packet_size_down,min_iat_down,max_iat_down,mean_iat_down,std_iat_down,num_packets_up,num_bytes_up,min_packet_size_up,max_packet_size_up,mean_packet_size_up,std_packet_size_up,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,port_pair,app
59,1134333,52,63408,19225.98305084746,17468.297566706897,8.2e-05,0.043205,0.006636259,0.009172887,53,3604,40,569,68,73.63057475302999,5.8e-05,0.064957,0.008103596,0.013681523,36596,timesofindia
48,560450,40,63960,11676.041666666666,19765.43603295144,4.6e-05,0.30658,0.014753319,0.046620328,32,2143,40,557,66.96875,93.42807631,6.5e-05,0.273254,0.022653161,0.053391009,48670,polimiit
65,1134622,52,64756,17455.723076923077,23422.670033876697,3.4e-05,0.028442,0.004299906,0.00673373,48,3356,52,569,69.91666666666667,77.17507957755154,5.1e-05,0.053144,0.006003234,0.011359045,37102,timesofindia
29,287213,52,64756,9903.896551724138,19260.439018036108,4.4e-05,0.132437,0.013518786,0.024891066,21,2031,52,569,96.71428571428572,114.38799887101048,5e-05,0.151627,0.01984935,0.03401064,37366,asahi
36,288957,52,64756,8026.583333333333,15979.597106265584,5.5e-05,0.485546,0.020848029,0.081305281,34,2707,40,569,79.61764705882354,90.84152525,5.3e-05,0.506053,0.023585182,0.087470146,54292,asahi
26,253823,52,64756,9762.423076923076,17970.957403929435,4.1e-05,0.05417,0.0121808,0.015945809,25,2140,40,569,85.6,105.20693893465388,4.5e-05,0.077992,0.014219375,0.021604751,32922,abc
23,226216,52,64756,9835.478260869566,17647.98340751086,5.3e-05,0.038452,0.008206591,0.010201148,23,2024,52,569,88,108.4670037803705,4.6e-05,0.044175,0.009960455,0.014597605,56308,abc
26,253845,52,64756,9763.269231,16056.590316895285,5.2e-05,0.035802,0.0085672,0.010430451,23,2036,40,569,88.52173913043478,109.37627695471404,4.9e-05,0.047027,0.011858364,0.014485286,59220,abc
94,3066097,52,64756,32618.05319148936,22761.155830473017,3.8e-05,0.054448,0.00549128,0.010365151,89,5452,40,569,61.25842696629213,56.80259438895062,5.5e-05,0.07821,0.006690034,0.013828318,52356,cnn
94,3066118,52,64756,32618.27659574468,23172.08895,3.9e-05,0.033015,0.003864204,0.006490246,89,5452,40,569,61.25842696629213,56.80259438895062,4.1e-05,0.043134,0.004566682,0.008504677,45582,cnn
99,3066554,52,64756,30975.29292929293,24101.07371401571,5.9e-05,0.055041,0.003912918,0.007728308,91,5556,40,569,61.05494505494506,56.184490275315056,4.8e-05,0.07554,0.004584989,0.010351191,35396,cnn
111,3041971,52,64756,27405.144144144146,22600.51610265364,4.1e-05,0.172084,0.007347736,0.023637948,99,6043,40,569,61.04040404040404,54.27084743642527,4e-05,0.205935,0.008942224,0.029888568,44962,cnbc
95,3066346,52,64756,32277.32631578948,21731.971434125848,5.3e-05,0.04707,0.003712447,0.0067582,94,5712,40,569,60.765957446808514,55.294018718688754,3.2e-05,0.054632,0.004095398,0.008068243,57580,cnn
