app,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
polimiit,-571.0,3222.2105263157896,3294.473684210526,4094.894736842105,16027.526315789473,21218.15789473684,33427.21052631579,40310.99999999999,45208.99999999999,51437.0,56481.31578947368,108881.42105263153,155844.6842105263,208677.4210526316,290284.8947368421,311121.8421052631,368106.15789473674,441410.47368421045,507843.2105263157,560019.0
polimiit,-571.0,3242.3684210526317,2950.5263157894738,3549.631578947369,9930.94736842106,32472.421052631587,43586.63157894737,53706.631578947374,60254.00000000001,66062.94736842105,82404.52631578948,146609.78947368424,189914.00000000006,248536.105263158,301074.00000000006,321329.7894736842,363130.84210526326,429268.7368421055,535920.3157894738,559726.0
rainewsit,-583.0,4567.1578947368425,4351.263157894737,8271.736842105269,41247.10526315789,73895.84210526316,111936.57894736844,180129.94736842104,261164.7894736842,396403.42105263163,492904.78947368416,649711.4210526315,782395.9473684211,878684.4736842104,969793.842105263,1034368.8947368423,1179753.0,1368627.842105263,1516849.8421052631,1534231.0
rainewsit,-583.0,4651.0,137001.1052631579,230125.8947368422,439875.1052631579,506375.2631578947,591149.6842105264,658615.7894736843,722516.4210526316,798863.5263157894,872251.5263157894,932283.5789473684,984011.6315789474,1040371.3684210528,1117185.210526316,1214813.1578947369,1310380.8421052631,1371780.6842105263,1478778.9473684211,1544970.0
rainewsit,-583.0,4475.473684210527,4198.315789473684,8531.421052631573,69182.05263157895,127988.05263157896,208362.05263157887,300726.15789473685,346690.68421052635,419686.1578947368,537662.2631578947,669260.2631578947,765952.1578947369,864843.4210526316,955859.5263157894,1111579.6315789474,1238353.2105263157,1379032.4736842106,1511765.6315789472,1535231.0
theguardian,-583.0,3739.9473684210525,3676.421052631579,3884.421052631579,4464.421052631579,14369.631578947352,64831.1052631579,140336.99999999997,186328.7894736842,269071.3157894737,342590.6842105263,417458.05263157893,515809.0000000001,640339.5263157894,745927.1052631577,877126.6842105264,1018046.0526315789,1135836.5789473683,1187538.5789473683,1187643.0
theguardian,-583.0,3752.842105263158,3366.7894736842104,4422.315789473684,8894.73684210526,35978.31578947368,100238.31578947367,132288.2105263158,244153.89473684208,314515.3684210525,396086.52631578944,497026.3157894736,595624.8421052631,629022.7368421052,728472.6315789474,841047.7894736842,964548.842105263,1036825.8947368418,1187933.894736842,1188148.0
theguardian,-583.0,3812.0,4636.0,16633.0,68602.0,102566.0,154054.0,245982.0,328474.0,421750.0,509634.0,631218.0,785154.0,895954.0,1013494.0,1136426.0,1317322.0,1453734.0,1621150.0,1659259.0
timesofindia,-583.0,5006.631578947368,5483.368421052632,8401.947368421053,8493.0,9172.947368421053,61282.78947368421,116684.7894736842,187269.5263157894,239904.57894736843,335817.52631578955,431801.4210526315,505649.7368421053,590211.1052631577,717340.8947368421,854261.4210526312,961809.7368421052,1121291.5263157894,1137369.4736842106,1137450.0
timesofindia,-583.0,4959.526315789473,5900.473684210527,8832.578947368422,8645.473684210527,11682.10526315789,32815.210526315794,89444.15789473683,157424.68421052632,190215.31578947368,264013.52631578944,313122.05263157893,455171.6315789474,543868.7894736842,645407.4210526315,813494.6842105264,934189.1052631579,1060843.1052631577,1137716.894736842,1137769.0
