,Write Time,Queue length
3352,3253.068301894676,2
3354,3254.462057164235,3
3355,3258.298184,2
3357,3258.347368716141,1
3359,3260.232538992975,0
3362,3262.231322,1
3363,3262.292755133916,0
3374,3273.655483691812,1
3375,3274.102429130907,0
3386,3287.417673281906,1
3387,3287.557827099372,0
3390,3287.875611581456,1
3391,3287.981706181036,0
3410,3302.292519006465,1
3411,3303.017243483122,0
3422,3313.213576,1
3423,3313.611349444275,0
3426,3315.537923832824,1
3428,3316.112038734591,2
3429,3316.301276099628,1
3431,3316.323407438368,0
3442,3342.179490349894,1
3444,3342.403939,2
3446,3344.356131405013,3
3447,3347.329690531453,2
3449,3347.576293202466,1
3451,3348.369953626794,0
3494,3398.879436201127,1
3495,3399.305036143341,0
3502,3400.781562008397,1
3503,3400.979101520279,0
3510,3407.124128681758,1
3511,3407.777912408956,0
3514,3407.94478,1
3516,3409.299285780971,2
3517,3413.950369396116,1
3519,3414.306425150743,0
3534,3449.995999416419,1
3535,3450.650601310423,0
3538,3452.339671223931,1
3539,3452.505153,0
3570,3501.075438840897,1
3571,3501.092329920444,0
